t,ue_x,ue_y,true_angle_deg,selected_beam_idx,selected_beam_deg,oracle_beam_idx,oracle_beam_deg,tracking_error_deg,distance,blocked,outage,snr_db,beam_gain_db,path_loss_db,blockage_loss_db,reward
147,716.0,380.0,30.379126011368328,90,30.0,90,30.0,0.3791260113683279,403.3856715353187,False,False,16.65690132473511,-0.0172483838995269,13.325850291365363,0.0,0.46627605298940433
148,720.0,380.0,30.866809451137073,91,31.0,91,31.0,0.13319054886292747,405.4232356439379,False,False,16.623881254852492,-0.0021287666767689445,13.37398997847074,0.0,0.44495525019409965
149,724.0,380.0,31.349580865243013,91,31.0,91,31.0,0.3495808652430128,407.4898771748815,False,False,16.562765047075548,-0.014664813761286418,13.422570139163167,0.0,0.46251060188302184
150,728.0,380.0,31.82744657667311,92,32.0,92,32.0,0.17255342332688883,409.5851559810243,False,False,16.524854445901617,-0.0035729620682194204,13.471572592030162,0.0,0.44099417783606465
151,732.0,380.0,32.300415510402644,92,32.0,92,32.0,0.3004155104026438,411.708634837794,False,False,16.4681905987226,-0.01082993746685772,13.52097946381054,0.0,0.458727623948904
152,736.0,380.0,32.76849907876982,93,33.0,93,33.0,0.23150092123017885,413.85987966943594,False,False,16.42279568166615,-0.006431121183650576,13.570773197150201,0.0,0.4369118272666457
153,740.0,380.0,33.23171106797935,93,33.0,93,33.0,0.23171106797934726,416.0384597606332,False,False,16.37262064033543,-0.006442802282895562,13.620936557381675,0.0,0.45490482561341716
154,744.0,380.0,33.69006752597977,94,34.0,94,34.0,0.30993247402022917,418.2439479538228,False,False,16.31702038501831,-0.011526976614276003,13.671452638367413,0.0,0.43268081540073244
155,748.0,380.0,34.14358665193777,94,34.0,94,34.0,0.14358665193776687,420.47592083257274,False,False,16.275221077358637,-0.0024740551937636893,13.722304867447596,0.0,0.4510088430943455
156,752.0,380.0,34.59228868750995,95,35.0,95,35.0,0.40771131249005066,422.7339588914049,False,False,16.20657556874634,-0.019947421719883174,13.773477009533774,0.0,0.42826302274985384
157,756.0,380.0,35.036195810092835,95,35.0,95,35.0,0.03619581009283479,425.0176466924638,False,False,16.174889613209988,-0.00015721640019318733,13.82495317038982,0.0,0.44699558452839927
158,760.0,380.0,35.475332028210005,95,35.0,95,35.0,0.47533202821000486,427.3265730094491,False,False,16.096169336413073,-0.02711286444506842,13.876717799141858,0.0,0.4438467734565228
159,764.0,380.0,35.909723079177695,96,36.0,96,36.0,0.09027692082230487,429.66033095923575,False,False,16.07026631924949,-0.0009779906919788043,13.92875569005853,0.0,0.42281065276997953
160,768.0,380.0,36.3393963291702,96,36.0,96,36.0,0.33939632917019935,432.0185181216194,False,False,16.005125232166836,-0.013822784190504759,13.981051983642658,0.0,0.4402050092866734
161,772.0,380.0,36.764380675790505,97,37.0,97,37.0,0.2356193242094946,434.4007366476259,False,False,15.959745857012248,-0.006661975912912671,14.03359216707484,0.0,0.4183898342804899
162,776.0,380.0,37.18470645323313,97,37.0,97,37.0,0.18470645323313306,436.8065933568311,False,False,15.909543949087244,-0.004093976863915629,14.086362074048841,0.0,0.43638175796348966
163,780.0,380.0,37.6004053401129,98,38.0,98,38.0,0.3995946598871001,439.2356998241377,False,False,15.841491008896918,-0.019161107065234464,14.139347884037846,0.0,0.41365964035587655
164,784.0,380.0,38.011510270016515,98,38.0,98,38.0,0.011510270016515278,441.6876724564542,False,False,15.80744798061241,-1.5898357902370876e-05,14.192536121029686,0.0,0.43229791922449645
165,788.0,380.0,38.418055344821994,98,38.0,98,38.0,0.4180553448219939,444.16213255972195,False,False,15.73311391567167,-0.020972432560108348,14.245913651768221,0.0,0.42932455662686664
166,792.0,380.0,38.8200757508169,99,39.0,99,39.0,0.17992424918310235,446.6587063967297,False,False,15.696647588209867,-0.003884728253292372,14.299467683536841,0.0,0.4078659035283949
167,796.0,380.0,39.217607677635954,99,39.0,99,39.0,0.21760767763595368,449.17702523615344,False,False,15.641131866316995,-0.005682372163933576,14.353185761519072,0.0,0.42564527465267976
168,800.0,380.0,39.610688240026604,100,40.0,100,40.0,0.3893117599733955,451.7167253932491,False,False,15.574756596655758,-0.018187637574429923,14.407055765769812,0.0,0.4029902638662304
169,804.0,380.0,39.99935540244155,100,40.0,100,40.0,0.0006445975584483676,454.2774482626229,False,False,15.53893404230955,-4.986072148291161e-08,14.461065907829727,0.0,0.421557361692382
170,808.0,380.0,40.38364790644897,100,40.0,100,40.0,0.38364790644897084,456.85884034349164,False,False,15.467132987051471,-0.017662285934721394,14.515204727013808,0.0,0.4186853194820588
171,812.0,380.0,40.76360520094116,101,41.0,101,41.0,0.23639479905884286,459.46055325783954,False,False,15.423833013473404,-0.006705900122648482,14.569461086403948,0.0,0.39695332053893617
172,816.0,380.0,41.13926737511673,101,41.0,101,41.0,0.13926737511673082,462.0822437618654,False,False,15.373848383213408,-0.0023274482126285057,14.623824168573963,0.0,0.4149539353285363
173,820.0,380.0,41.510675094203606,102,42.0,102,42.0,0.4893249057963942,464.72357375110636,False,False,15.292983865313836,-0.02873266361191801,14.678283471074247,0.0,0.39171935461255347
174,824.0,380.0,41.877869537884294,102,42.0,102,42.0,0.122130462115706,467.3842102596107,False,False,15.265381296325026,-0.0017899019731915076,14.732828801701782,0.0,0.4106152518530011
175,828.0,380.0,42.24089234137972,102,42.0,102,42.0,0.2408923413797197,470.06382545352284,False,False,15.205586232003634,-0.006963494416248411,14.787450273580117,0.0,0.4082234492801453
176,832.0,380.0,42.59978553914337,103,43.0,103,43.0,0.40021446085663115,472.7620966194308,False,False,15.13864110616617,-0.019220593761451677,14.842138300072378,0.0,0.3855456442466467
177,836.0,380.0,42.95459151111277,103,43.0,103,43.0,0.045408488887233034,475.47870614781476,False,False,15.10286897874712,-0.0002474317035626359,14.896883589549317,0.0,0.4041147591498848
178,840.0,380.0,43.305352931462835,103,43.0,103,43.0,0.30535293146283493,478.21334151192394,False,False,15.037134010436636,-0.011188849530353612,14.95167714003301,0.0,0.4014853604174655
179,844.0,380.0,43.65211271980141,104,44.0,104,44.0,0.3478872801985915,480.9656952423946,False,False,14.978966699097494,-0.014523067166876794,15.006510233735629,0.0,0.37915866796389985
180,848.0,380.0,43.994913994745815,104,44.0,104,44.0,0.005086005254185011,483.735464897913,False,False,14.938622464394495,-3.1040939334717054e-06,15.061374431511572,0.0,0.3975448985757799
181,852.0,380.0,44.33380002981687,104,44.0,104,44.0,0.33380002981687085,486.52235303221164,False,False,14.870367737571359,-0.013370695188689264,15.116261567239953,0.0,0.39481470950285424
182,856.0,380.0,44.66881421158462,105,45.0,105,45.0,0.3311857884153824,489.3260671576776,False,False,14.815674174672717,-0.01316208317379821,15.171163742153485,0.0,0.37262696698690867
183,860.0,380.0,45.0,105,45.0,105,45.0,0.0,492.1463197058371,False,False,14.773926680871428,-0.0,15.226073319128572,0.0,0.390957067234857
184,864.0,380.0,45.32740089084439,105,45.0,105,45.0,0.3274008908443875,494.9828279849716,False,False,14.706154121850426,-0.012862961199083823,15.28098291695049,0.0,0.388246164874017
185,868.0,380.0,45.651060380229495,106,46.0,106,46.0,0.3489396197705048,497.83531413510633,False,False,14.64950353244409,-0.014611062989470139,15.33588540456644,0.0,0.36598014129776346
186,872.0,380.0,45.97102193107918,106,46.0,106,46.0,0.028978068920821443,500.7035050806016,False,False,14.609125337244203,-0.00010076741740558531,15.390773895338391,0.0,0.38436501348976804
187,876.0,380.0,46.28732894152503,106,46.0,106,46.0,0.28732894152503263,503.5871324805669,False,False,14.544451308216805,-0.009906950476547473,15.445641741306646,0.0,0.38177805232867223
188,880.0,380.0,46.600024715147754,107,47.0,107,47.0,0.3999752848522462,506.48593267730547,False,False,14.480319845106669,-0.01919762741911626,15.500482527474215,0.0,0.35921279380426685
189,884.0,380.0,46.90915243299639,107,47.0,107,47.0,0.09084756700360685,509.39964664298697,False,False,14.44371954022711,-0.0009903936516569805,15.555290066121232,0.0,0.3777487816090843
190,888.0,380.0,47.21475512731922,107,47.0,107,47.0,0.21475512731922208,512.3280199247354,False,False,14.384407237076909,-0.005534371765187435,15.610058391157905,0.0,0.37537628948307633
191,892.0,380.0,47.51687565693953,108,48.0,108,48.0,0.48312434306046725,515.2708025883089,False,False,14.307209151773426,-0.028009095702912965,15.66478175252366,0.0,0.35228836607093705
